订单编号,订单日期,门店,产品ID,顾客ID,数量
20002678,12/21/2020,石家庄市,3009,1051,1
20002679,12/21/2020,呼和浩特市,3009,1281,4
20002680,12/21/2020,江门市,3008,1727,2
20002681,12/21/2020,呼和浩特市,3002,1249,4
20002682,12/21/2020,杭州市,3009,363,2
20002683,12/21/2020,石家庄市,3007,1022,4
20002684,12/21/2020,南京市,3007,439,2
20002685,12/21/2020,泰兴市,3012,763,1
20002686,12/21/2020,广州市,3011,1689,1
20002687,12/21/2020,镇江市,3007,1115,3
20002688,12/21/2020,北京市,3008,122,2
20002689,12/21/2020,泰兴市,3011,734,2
20002690,12/21/2020,武汉市,3012,1419,1
20002691,12/21/2020,呼和浩特市,3011,1203,3
20002692,12/21/2020,呼和浩特市,3012,1249,1
20002693,12/21/2020,呼和浩特市,3011,1232,1
20002694,12/21/2020,常州市,3010,595,2
20002695,12/21/2020,石家庄市,3012,1079,3
20002696,12/21/2020,北京市,3003,159,2
20002697,12/21/2020,诸暨市,3003,872,4
20002698,12/21/2020,杭州市,3008,343,2
20002699,12/21/2020,嘉兴市,3008,225,1
20002700,12/21/2020,呼和浩特市,3007,1237,4
20002701,12/21/2020,诸暨市,3001,876,1
20002702,12/22/2020,北京市,3003,155,4
20002703,12/22/2020,北京市,3002,167,1
20002704,12/22/2020,北京市,3003,182,2
20002705,12/22/2020,呼和浩特市,3008,1295,1
20002706,12/22/2020,南京市,3002,497,3
20002707,12/22/2020,苏州市,3010,1398,2
20002708,12/22/2020,苏州市,3008,1355,2
20002709,12/22/2020,嘉兴市,3008,293,4
20002710,12/22/2020,诸暨市,3002,849,3
20002711,12/22/2020,中山市,3009,1831,3
20002712,12/22/2020,中山市,3009,1824,4
20002713,12/22/2020,呼和浩特市,3002,1292,4
20002714,12/22/2020,呼和浩特市,3007,1221,1
20002715,12/22/2020,呼和浩特市,3008,1253,3
20002716,12/22/2020,南京市,3007,497,3
20002717,12/22/2020,泰兴市,3009,761,1
20002718,12/22/2020,南通市,3003,693,3
20002719,12/22/2020,石家庄市,3008,1073,1
20002720,12/22/2020,呼和浩特市,3008,1211,3
20002721,12/22/2020,石家庄市,3002,1004,1
20002722,12/22/2020,北京市,3008,148,4
20002723,12/22/2020,南京市,3009,445,3
20002724,12/22/2020,南通市,3009,626,1
20002725,12/22/2020,常州市,3011,564,1
20002726,12/22/2020,诸暨市,3003,896,3
20002727,12/22/2020,天津市,3009,918,4
20002728,12/22/2020,芜湖市,3009,1519,1
20002729,12/22/2020,石家庄市,3008,1088,4
20002730,12/22/2020,石家庄市,3002,1002,1
20002731,12/22/2020,南通市,3011,659,1
20002732,12/22/2020,杭州市,3007,304,1
20002733,12/22/2020,苏州市,3009,1309,1
20002734,12/22/2020,南通市,3009,620,4
20002735,12/22/2020,呼和浩特市,3007,1256,1
20002736,12/22/2020,武汉市,3011,1472,1
20002737,12/22/2020,南京市,3010,458,3
20002738,12/22/2020,苏州市,3009,1330,1
20002739,12/22/2020,苏州市,3012,1377,3
20002740,12/22/2020,诸暨市,3001,830,1
20002741,12/22/2020,石家庄市,3012,1062,1
20002742,12/22/2020,南京市,3010,438,4
20002743,12/22/2020,天津市,3002,993,3
20002744,12/22/2020,北京市,3002,113,2
20002745,12/22/2020,南通市,3002,652,2
20002746,12/22/2020,北京市,3007,154,1
20002747,12/22/2020,嘉兴市,3001,227,2
20002748,12/23/2020,呼和浩特市,3001,1245,1
20002749,12/23/2020,呼和浩特市,3009,1223,1
20002750,12/23/2020,呼和浩特市,3002,1236,1
20002751,12/23/2020,常州市,3012,548,1
20002752,12/23/2020,北京市,3002,130,1
20002753,12/23/2020,镇江市,3007,1169,3
20002754,12/23/2020,嘉兴市,3002,237,4
20002755,12/23/2020,北京市,3007,194,3
20002756,12/23/2020,北京市,3008,192,1
20002757,12/23/2020,南京市,3003,471,1
20002758,12/23/2020,杭州市,3009,362,1
20002759,12/23/2020,石家庄市,3008,1005,2
20002760,12/23/2020,常州市,3009,600,1
20002761,12/23/2020,北京市,3001,132,2
20002762,12/23/2020,石家庄市,3008,1092,4
20002763,12/23/2020,嘉兴市,3009,266,1
20002764,12/23/2020,石家庄市,3002,1008,1
20002765,12/23/2020,广州市,3007,1667,2
20002766,12/23/2020,南京市,3007,480,1
20002767,12/23/2020,芜湖市,3002,1519,1
20002768,12/23/2020,镇江市,3009,1140,3
20002769,12/23/2020,天津市,3011,987,1
20002770,12/23/2020,南京市,3011,451,1
20002771,12/23/2020,泰兴市,3008,730,4
20002772,12/23/2020,泰兴市,3011,748,4
20002773,12/23/2020,石家庄市,3008,1034,1
20002774,12/23/2020,杭州市,3008,316,4
20002775,12/23/2020,江门市,3011,1766,2
20002776,12/23/2020,杭州市,3009,348,1
20002777,12/23/2020,南京市,3008,463,1
20002778,12/23/2020,广州市,3011,1610,3
20002779,12/23/2020,南京市,3008,483,2
20002780,12/23/2020,杭州市,3009,348,2
20002781,12/23/2020,天津市,3002,994,1
20002782,12/24/2020,南京市,3011,440,3
20002783,12/24/2020,南京市,3011,460,1
20002784,12/24/2020,北京市,3008,138,1
20002785,12/24/2020,广州市,3008,1693,1
20002786,12/24/2020,苏州市,3008,1365,1
20002787,12/24/2020,泰兴市,3007,791,1
20002788,12/24/2020,中山市,3008,1853,4
20002789,12/24/2020,中山市,3008,1862,3
20002790,12/24/2020,泰兴市,3002,725,2
20002791,12/24/2020,泰兴市,3001,771,4
20002792,12/24/2020,南京市,3007,476,1
20002793,12/24/2020,广州市,3009,1630,1
20002794,12/24/2020,武汉市,3008,1426,4
20002795,12/24/2020,石家庄市,3009,1009,1
20002796,12/24/2020,南京市,3011,425,1
20002797,12/24/2020,常州市,3007,594,1
20002798,12/24/2020,诸暨市,3003,886,1
20002799,12/24/2020,武汉市,3007,1467,4
20002800,12/24/2020,镇江市,3007,1142,1
20002801,12/24/2020,呼和浩特市,3008,1247,1
20002802,12/24/2020,泰兴市,3008,784,3
20002803,12/24/2020,南京市,3002,409,1
20002804,12/24/2020,武汉市,3008,1459,3
20002805,12/24/2020,芜湖市,3009,1563,2
20002806,12/24/2020,石家庄市,3007,1018,1
20002807,12/24/2020,苏州市,3010,1370,1
20002808,12/24/2020,泰兴市,3009,705,1
20002809,12/24/2020,泰兴市,3007,748,4
20002810,12/24/2020,常州市,3002,541,3
20002811,12/24/2020,石家庄市,3008,1021,1
20002812,12/24/2020,石家庄市,3008,1046,1
20002813,12/24/2020,嘉兴市,3008,249,2
20002814,12/24/2020,镇江市,3009,1149,1
20002815,12/24/2020,北京市,3002,103,1
20002816,12/24/2020,江门市,3010,1748,2
20002817,12/24/2020,南京市,3012,464,1
20002818,12/24/2020,泰兴市,3008,753,2
20002819,12/24/2020,石家庄市,3008,1029,1
20002820,12/24/2020,泰兴市,3011,776,2
20002821,12/24/2020,武汉市,3012,1433,4
20002822,12/24/2020,石家庄市,3008,1043,1
20002823,12/24/2020,石家庄市,3008,1029,1
20002824,12/24/2020,南京市,3007,490,3
20002825,12/24/2020,杭州市,3007,344,1
20002826,12/24/2020,杭州市,3003,372,4
20002827,12/25/2020,北京市,3008,192,2
20002828,12/25/2020,呼和浩特市,3009,1234,3
20002829,12/25/2020,呼和浩特市,3009,1234,1
20002830,12/25/2020,呼和浩特市,3002,1222,1
20002831,12/25/2020,北京市,3008,103,2
20002832,12/25/2020,常州市,3008,548,4
20002833,12/25/2020,江门市,3007,1778,4
20002834,12/25/2020,苏州市,3009,1347,4
20002835,12/25/2020,泰兴市,3002,763,1
20002836,12/25/2020,呼和浩特市,3011,1285,4
20002837,12/25/2020,石家庄市,3009,1001,3
20002838,12/25/2020,广州市,3008,1683,1
20002839,12/25/2020,诸暨市,3002,858,2
20002840,12/25/2020,北京市,3009,156,4
20002841,12/25/2020,石家庄市,3002,1001,1
20002842,12/25/2020,芜湖市,3003,1566,1
20002843,12/25/2020,北京市,3008,170,1
20002844,12/25/2020,武汉市,3009,1492,3
20002845,12/25/2020,武汉市,3007,1487,1
20002846,12/25/2020,呼和浩特市,3002,1262,1
20002847,12/25/2020,江门市,3011,1779,2
20002848,12/25/2020,武汉市,3008,1424,3
20002849,12/25/2020,呼和浩特市,3011,1232,3
20002850,12/25/2020,天津市,3012,937,1
20002851,12/25/2020,广州市,3011,1653,2
20002852,12/25/2020,常州市,3011,559,1
20002853,12/25/2020,芜湖市,3008,1548,1
20002854,12/25/2020,诸暨市,3002,896,1
20002855,12/25/2020,天津市,3002,983,4
20002856,12/25/2020,南京市,3008,417,1
20002857,12/25/2020,南京市,3007,481,2
20002858,12/28/2020,北京市,3001,116,1
20002859,12/28/2020,广州市,3009,1676,1
20002860,12/28/2020,嘉兴市,3008,282,1
20002861,12/28/2020,桐乡市,3002,1978,1
20002862,12/28/2020,杭州市,3009,329,1
20002863,12/28/2020,南京市,3008,499,4
20002864,12/28/2020,南京市,3008,453,3
20002865,12/28/2020,武汉市,3008,1411,3
20002866,12/28/2020,天津市,3003,938,3
20002867,12/28/2020,石家庄市,3001,1080,2
20002868,12/28/2020,泰兴市,3012,708,2
20002869,12/28/2020,泰兴市,3003,711,4
20002870,12/28/2020,杭州市,3008,336,3
20002871,12/28/2020,石家庄市,3009,1024,1
20002872,12/28/2020,南京市,3007,498,1
20002873,12/28/2020,南通市,3008,639,1
20002874,12/28/2020,镇江市,3008,1104,1
20002875,12/28/2020,镇江市,3010,1138,1
20002876,12/28/2020,泰兴市,3011,761,1
20002877,12/28/2020,常州市,3010,509,1
20002878,12/28/2020,武汉市,3011,1471,4
20002879,12/28/2020,南京市,3011,495,4
20002880,12/28/2020,江门市,3011,1782,1
20002881,12/28/2020,石家庄市,3011,1063,1
20002882,12/28/2020,江门市,3008,1792,1
20002883,12/28/2020,泰兴市,3008,800,1
20002884,12/28/2020,杭州市,3008,381,4
20002885,12/28/2020,诸暨市,3001,816,1
20002886,12/28/2020,镇江市,3002,1193,1
20002887,12/28/2020,北京市,3002,169,2
20002888,12/28/2020,武汉市,3009,1436,1
20002889,12/29/2020,呼和浩特市,3003,1287,1
20002890,12/29/2020,嘉兴市,3008,247,4
20002891,12/29/2020,苏州市,3008,1306,2
20002892,12/29/2020,中山市,3008,1872,1
20002893,12/29/2020,桐乡市,3003,1962,3
20002894,12/29/2020,中山市,3008,1809,3
20002895,12/29/2020,中山市,3007,1816,2
20002896,12/29/2020,泰兴市,3008,717,2
20002897,12/29/2020,石家庄市,3009,1021,3
20002898,12/29/2020,南通市,3012,650,2
20002899,12/29/2020,芜湖市,3002,1555,1
20002900,12/29/2020,芜湖市,3002,1539,1
20002901,12/29/2020,呼和浩特市,3011,1250,3
20002902,12/29/2020,呼和浩特市,3001,1215,1
20002903,12/29/2020,泰兴市,3007,704,1
20002904,12/29/2020,北京市,3008,175,1
20002905,12/29/2020,苏州市,3008,1365,1
20002906,12/29/2020,泰兴市,3009,762,3
20002907,12/29/2020,北京市,3009,118,1
20002908,12/29/2020,苏州市,3009,1319,1
20002909,12/29/2020,泰兴市,3001,717,1
20002910,12/29/2020,石家庄市,3008,1009,3
20002911,12/29/2020,南通市,3011,626,3
20002912,12/29/2020,诸暨市,3012,865,1
20002913,12/29/2020,诸暨市,3002,872,1
20002914,12/29/2020,镇江市,3011,1143,2
20002915,12/29/2020,南通市,3012,649,1
20002916,12/29/2020,石家庄市,3007,1047,2
20002917,12/29/2020,诸暨市,3001,859,1
20002918,12/29/2020,天津市,3003,987,1
20002919,12/29/2020,呼和浩特市,3011,1253,4
20002920,12/29/2020,呼和浩特市,3011,1293,2
20002921,12/29/2020,石家庄市,3007,1096,1
20002922,12/29/2020,南京市,3012,498,2
20002923,12/29/2020,中山市,3011,1899,2
20002924,12/29/2020,武汉市,3010,1417,1
20002925,12/29/2020,天津市,3011,917,1
20002926,12/29/2020,南京市,3011,425,1
20002927,12/29/2020,石家庄市,3008,1018,1
20002928,12/29/2020,呼和浩特市,3009,1248,1
20002929,12/29/2020,诸暨市,3002,890,1
20002930,12/29/2020,呼和浩特市,3007,1271,4
20002931,12/29/2020,石家庄市,3008,1025,1
20002932,12/29/2020,呼和浩特市,3008,1244,1
20002933,12/29/2020,泰兴市,3001,753,1
20002934,12/29/2020,呼和浩特市,3008,1258,1
20002935,12/29/2020,南京市,3008,401,1
20002936,12/29/2020,呼和浩特市,3007,1284,4
20002937,12/29/2020,武汉市,3008,1444,1
20002938,12/29/2020,呼和浩特市,3009,1215,4
20002939,12/29/2020,天津市,3003,964,3
20002940,12/29/2020,北京市,3009,171,3
20002941,12/30/2020,呼和浩特市,3002,1209,4
20002942,12/30/2020,江门市,3010,1701,1
20002943,12/30/2020,呼和浩特市,3001,1278,2
20002944,12/30/2020,中山市,3010,1839,4
20002945,12/30/2020,呼和浩特市,3011,1261,1
20002946,12/30/2020,呼和浩特市,3009,1209,2
20002947,12/30/2020,呼和浩特市,3003,1262,1
20002948,12/30/2020,呼和浩特市,3002,1280,1
20002949,12/30/2020,广州市,3001,1627,1
20002950,12/30/2020,武汉市,3009,1480,4
20002951,12/30/2020,石家庄市,3007,1063,4
20002952,12/30/2020,江门市,3007,1767,2
20002953,12/30/2020,北京市,3009,166,1
20002954,12/30/2020,武汉市,3008,1453,1
20002955,12/30/2020,泰兴市,3008,715,3
20002956,12/30/2020,北京市,3003,101,1
20002957,12/30/2020,石家庄市,3009,1076,1
20002958,12/30/2020,北京市,3011,182,1
20002959,12/30/2020,中山市,3011,1887,2
20002960,12/30/2020,石家庄市,3009,1002,4
20002961,12/30/2020,广州市,3009,1685,4
20002962,12/30/2020,诸暨市,3007,859,3
20002963,12/30/2020,呼和浩特市,3011,1248,1
20002964,12/30/2020,苏州市,3011,1345,1
20002965,12/30/2020,南通市,3012,616,4
20002966,12/30/2020,南京市,3011,488,2
20002967,12/30/2020,南京市,3008,417,2
20002968,12/30/2020,呼和浩特市,3008,1240,1
20002969,12/30/2020,呼和浩特市,3009,1260,3
20002970,12/30/2020,北京市,3008,180,4
20002971,12/31/2020,呼和浩特市,3008,1253,4
20002972,12/31/2020,呼和浩特市,3002,1300,1
20002973,12/31/2020,泰兴市,3003,798,3
20002974,12/31/2020,镇江市,3009,1158,3
20002975,12/31/2020,镇江市,3008,1172,3
20002976,12/31/2020,中山市,3007,1874,1
20002977,12/31/2020,呼和浩特市,3008,1220,1
20002978,12/31/2020,呼和浩特市,3009,1205,4
20002979,12/31/2020,桐乡市,3009,1976,4
20002980,12/31/2020,江门市,3003,1702,1
20002981,12/31/2020,江门市,3008,1739,4
20002982,12/31/2020,南京市,3007,457,1
20002983,12/31/2020,天津市,3007,956,4
20002984,12/31/2020,杭州市,3011,362,4
20002985,12/31/2020,南京市,3003,480,3
20002986,12/31/2020,常州市,3007,514,3
20002987,12/31/2020,芜湖市,3009,1537,1
20002988,12/31/2020,南京市,3009,487,3
20002989,12/31/2020,南京市,3008,495,2
20002990,12/31/2020,苏州市,3011,1369,4
20002991,12/31/2020,南京市,3011,458,1
20002992,12/31/2020,南通市,3008,688,1
20002993,12/31/2020,呼和浩特市,3011,1270,3
20002994,12/31/2020,中山市,3010,1851,4
20002995,12/31/2020,天津市,3011,968,1
20002996,12/31/2020,石家庄市,3007,1088,1
20002997,12/31/2020,天津市,3009,942,1
20002998,12/31/2020,嘉兴市,3007,205,2
20002999,12/31/2020,南京市,3008,478,4
20003000,12/31/2020,镇江市,3012,1118,1
20003001,12/31/2020,镇江市,3007,1124,1
20003002,12/31/2020,诸暨市,3002,823,4
20003003,12/31/2020,呼和浩特市,3008,1243,1
20003004,12/31/2020,天津市,3007,922,3
20003005,12/31/2020,武汉市,3007,1419,1
20003006,12/31/2020,南京市,3007,421,1
20003007,12/31/2020,武汉市,3009,1490,2
20003008,12/31/2020,武汉市,3008,1454,3
20003009,1/4/2019,呼和浩特市,3003,1294,1
20003010,1/4/2019,常州市,3008,568,1
20003011,1/4/2019,南京市,3002,413,1
20003012,1/4/2019,泰兴市,3009,739,1
20003013,1/4/2019,中山市,3009,1854,1
20003014,1/4/2019,桐乡市,3008,1969,3
20003015,1/4/2019,泰兴市,3011,792,3
20003016,1/4/2019,呼和浩特市,3001,1262,3
20003017,1/4/2019,武汉市,3010,1451,2
20003018,1/4/2019,石家庄市,3008,1077,1
20003019,1/4/2019,广州市,3007,1700,3
20003020,1/4/2019,天津市,3002,990,1
20003021,1/4/2019,石家庄市,3011,1064,2
20003022,1/4/2019,北京市,3008,108,1
20003023,1/4/2019,南京市,3008,496,3
20003024,1/4/2019,南通市,3008,616,1
20003025,1/4/2019,石家庄市,3008,1038,2
20003026,1/4/2019,苏州市,3011,1383,3
20003027,1/4/2019,江门市,3011,1787,1
20003028,1/4/2019,杭州市,3012,391,3
20003029,1/4/2019,石家庄市,3007,1077,2
20003030,1/4/2019,中山市,3010,1851,3
20003031,1/4/2019,江门市,3012,1756,2
20003032,1/4/2019,中山市,3010,1803,3
20003033,1/4/2019,武汉市,3011,1484,1
20003034,1/4/2019,苏州市,3007,1316,1
20003035,1/4/2019,诸暨市,3003,814,1
20003036,1/4/2019,诸暨市,3002,840,4
20003037,1/5/2019,江门市,3011,1740,3
20003038,1/5/2019,常州市,3007,520,4
20003039,1/5/2019,嘉兴市,3007,257,4
20003040,1/5/2019,嘉兴市,3008,253,1
20003041,1/5/2019,镇江市,3008,1179,2
20003042,1/5/2019,呼和浩特市,3009,1278,3
20003043,1/5/2019,呼和浩特市,3009,1285,2
20003044,1/5/2019,泰兴市,3003,718,1
20003045,1/5/2019,广州市,3002,1656,4
20003046,1/5/2019,北京市,3002,123,1
20003047,1/5/2019,苏州市,3008,1391,2
20003048,1/5/2019,北京市,3008,131,1
20003049,1/5/2019,武汉市,3008,1411,4
20003050,1/5/2019,南京市,3007,496,2
20003051,1/5/2019,常州市,3008,549,2
20003052,1/5/2019,石家庄市,3008,1068,1
20003053,1/5/2019,诸暨市,3002,870,1
20003054,1/5/2019,北京市,3002,142,1
20003055,1/5/2019,石家庄市,3010,1100,2
20003056,1/5/2019,呼和浩特市,3010,1217,2
20003057,1/5/2019,苏州市,3011,1396,4
20003058,1/5/2019,泰兴市,3009,776,1
20003059,1/5/2019,石家庄市,3008,1057,3
20003060,1/5/2019,南京市,3008,456,1
20003061,1/5/2019,中山市,3011,1836,2
20003062,1/5/2019,武汉市,3010,1411,1
20003063,1/5/2019,南京市,3007,452,1
20003064,1/5/2019,呼和浩特市,3008,1259,3
20003065,1/5/2019,镇江市,3012,1149,1
20003066,1/6/2019,北京市,3010,155,4
20003067,1/6/2019,呼和浩特市,3009,1216,1
20003068,1/6/2019,诸暨市,3001,824,4
20003069,1/6/2019,泰兴市,3008,765,4
20003070,1/6/2019,诸暨市,3007,826,4
20003071,1/6/2019,江门市,3012,1788,1
20003072,1/6/2019,北京市,3008,101,4
20003073,1/6/2019,泰兴市,3008,718,3
20003074,1/6/2019,呼和浩特市,3003,1255,3
20003075,1/6/2019,泰兴市,3010,740,1
20003076,1/6/2019,武汉市,3012,1489,1
20003077,1/6/2019,芜湖市,3007,1503,2
20003078,1/6/2019,石家庄市,3008,1071,1
20003079,1/6/2019,呼和浩特市,3002,1221,1
20003080,1/6/2019,武汉市,3010,1415,1
20003081,1/6/2019,北京市,3008,195,4
20003082,1/6/2019,广州市,3010,1676,2
20003083,1/6/2019,石家庄市,3008,1041,1
20003084,1/6/2019,北京市,3007,108,1
20003085,1/6/2019,石家庄市,3008,1093,1
20003086,1/6/2019,南京市,3009,494,3
20003087,1/6/2019,石家庄市,3009,1061,3
20003088,1/6/2019,诸暨市,3003,833,1
20003089,1/6/2019,北京市,3009,137,4
20003090,1/7/2019,北京市,3009,132,4
20003091,1/7/2019,呼和浩特市,3001,1223,3
20003092,1/7/2019,呼和浩特市,3007,1258,1
20003093,1/7/2019,常州市,3002,521,1
20003094,1/7/2019,嘉兴市,3007,271,4
20003095,1/7/2019,武汉市,3008,1483,4
20003096,1/7/2019,杭州市,3008,333,3
20003097,1/7/2019,泰兴市,3008,774,1
20003098,1/7/2019,南通市,3010,695,1
20003099,1/7/2019,广州市,3009,1635,1
20003100,1/7/2019,武汉市,3008,1441,3
20003101,1/7/2019,北京市,3009,165,1
20003102,1/7/2019,江门市,3012,1707,1
20003103,1/7/2019,江门市,3009,1710,3
20003104,1/7/2019,南通市,3012,674,2
20003105,1/7/2019,北京市,3002,200,3
20003106,1/7/2019,泰兴市,3007,789,3
20003107,1/7/2019,石家庄市,3009,1018,4
20003108,1/7/2019,北京市,3009,103,1
20003109,1/7/2019,杭州市,3003,374,1
20003110,1/7/2019,北京市,3008,192,1
20003111,1/7/2019,苏州市,3001,1324,1
20003112,1/7/2019,诸暨市,3003,802,4
20003113,1/7/2019,广州市,3010,1657,1
20003114,1/7/2019,南通市,3009,689,1
20003115,1/7/2019,杭州市,3011,353,4
20003116,1/7/2019,杭州市,3011,345,2
20003117,1/7/2019,武汉市,3011,1450,3
20003118,1/7/2019,北京市,3008,136,3
20003119,1/7/2019,中山市,3011,1810,3
20003120,1/7/2019,呼和浩特市,3010,1266,2
20003121,1/7/2019,江门市,3010,1721,1
20003122,1/7/2019,江门市,3011,1759,1
20003123,1/7/2019,中山市,3011,1823,4
20003124,1/7/2019,石家庄市,3002,1062,1
20003125,1/7/2019,江门市,3010,1780,3
20003126,1/7/2019,江门市,3011,1756,1
20003127,1/7/2019,苏州市,3009,1387,2
20003128,1/7/2019,石家庄市,3008,1040,2
20003129,1/7/2019,呼和浩特市,3008,1221,1
20003130,1/7/2019,石家庄市,3003,1009,2
20003131,1/7/2019,石家庄市,3009,1064,1
20003132,1/7/2019,泰兴市,3007,775,1
20003133,1/7/2019,广州市,3010,1638,1
20003134,1/7/2019,北京市,3008,156,3
20003135,1/7/2019,武汉市,3008,1464,3
20003136,1/7/2019,南通市,3009,628,1
20003137,1/8/2019,呼和浩特市,3011,1299,1
20003138,1/8/2019,苏州市,3011,1303,1
20003139,1/8/2019,常州市,3011,575,3
20003140,1/8/2019,呼和浩特市,3003,1267,3
20003141,1/8/2019,呼和浩特市,3002,1207,1
20003142,1/8/2019,北京市,3001,127,1
20003143,1/8/2019,呼和浩特市,3002,1250,2
20003144,1/8/2019,常州市,3007,555,2
20003145,1/8/2019,南京市,3002,467,4
20003146,1/8/2019,苏州市,3001,1369,1
20003147,1/8/2019,镇江市,3011,1170,1
20003148,1/8/2019,中山市,3012,1823,1
20003149,1/8/2019,呼和浩特市,3003,1216,1
20003150,1/8/2019,南京市,3008,491,1
20003151,1/8/2019,广州市,3007,1632,1
20003152,1/8/2019,石家庄市,3008,1024,1
20003153,1/8/2019,石家庄市,3008,1012,1
20003154,1/8/2019,武汉市,3008,1458,1
20003155,1/8/2019,北京市,3009,196,3
20003156,1/8/2019,北京市,3001,143,4
20003157,1/8/2019,石家庄市,3008,1009,2
20003158,1/8/2019,泰兴市,3002,735,3
20003159,1/8/2019,泰兴市,3010,761,4
20003160,1/8/2019,常州市,3011,509,2
20003161,1/8/2019,诸暨市,3003,811,3
20003162,1/8/2019,北京市,3008,198,1
20003163,1/8/2019,镇江市,3011,1121,2
20003164,1/8/2019,苏州市,3002,1306,4
20003165,1/8/2019,芜湖市,3002,1590,4
20003166,1/8/2019,北京市,3008,137,1
20003167,1/8/2019,石家庄市,3007,1034,3
20003168,1/8/2019,芜湖市,3009,1515,4
20003169,1/8/2019,呼和浩特市,3011,1290,1
20003170,1/8/2019,泰兴市,3012,737,4
20003171,1/8/2019,呼和浩特市,3010,1230,1
20003172,1/8/2019,呼和浩特市,3012,1230,2
20003173,1/11/2019,北京市,3008,193,4
20003174,1/11/2019,北京市,3001,111,1
20003175,1/11/2019,呼和浩特市,3009,1227,1
20003176,1/11/2019,呼和浩特市,3002,1285,1
20003177,1/11/2019,常州市,3002,578,1
20003178,1/11/2019,嘉兴市,3003,260,3
20003179,1/11/2019,苏州市,3010,1371,3
20003180,1/11/2019,诸暨市,3003,830,3
20003181,1/11/2019,江门市,3001,1745,3
20003182,1/11/2019,天津市,3009,954,1
20003183,1/11/2019,苏州市,3008,1338,1
20003184,1/11/2019,常州市,3007,552,1
20003185,1/11/2019,泰兴市,3008,749,1
20003186,1/11/2019,泰兴市,3009,728,3
20003187,1/11/2019,南京市,3010,442,1
20003188,1/11/2019,常州市,3011,548,3
20003189,1/11/2019,石家庄市,3011,1010,1
20003190,1/11/2019,南通市,3011,647,4
20003191,1/11/2019,南通市,3010,603,1
20003192,1/11/2019,常州市,3011,585,4
20003193,1/11/2019,石家庄市,3012,1009,1
20003194,1/11/2019,天津市,3011,976,1
20003195,1/11/2019,石家庄市,3008,1060,4
20003196,1/11/2019,镇江市,3008,1184,1
20003197,1/11/2019,东莞市,3011,2056,3
20003198,1/11/2019,北京市,3008,137,1
20003199,1/11/2019,北京市,3002,173,1
20003200,1/12/2019,南京市,3007,407,4
20003201,1/12/2019,中山市,3009,1814,1
20003202,1/12/2019,泰兴市,3009,756,2
20003203,1/12/2019,诸暨市,3003,898,2
20003204,1/12/2019,杭州市,3007,349,1
20003205,1/12/2019,呼和浩特市,3012,1291,1
20003206,1/12/2019,石家庄市,3007,1076,4
20003207,1/12/2019,江门市,3007,1704,1
20003208,1/12/2019,江门市,3009,1720,3
20003209,1/12/2019,北京市,3007,157,2
20003210,1/12/2019,石家庄市,3007,1090,3
20003211,1/12/2019,南京市,3011,454,2
20003212,1/12/2019,泰兴市,3009,714,1
20003213,1/12/2019,杭州市,3003,371,1
20003214,1/12/2019,南通市,3008,636,1
20003215,1/12/2019,常州市,3009,527,2
20003216,1/12/2019,北京市,3001,118,1
20003217,1/12/2019,杭州市,3009,357,1
20003218,1/12/2019,石家庄市,3008,1046,2
20003219,1/12/2019,苏州市,3003,1399,3
20003220,1/12/2019,泰兴市,3009,704,2
20003221,1/12/2019,苏州市,3008,1377,4
20003222,1/12/2019,南通市,3008,676,3
20003223,1/12/2019,呼和浩特市,3009,1297,1
20003224,1/12/2019,呼和浩特市,3011,1233,2
20003225,1/12/2019,石家庄市,3010,1055,1
20003226,1/12/2019,广州市,3012,1646,4
20003227,1/12/2019,马鞍山市,3009,2182,3
20003228,1/12/2019,北京市,3009,173,2
20003229,1/12/2019,北京市,3007,195,1
20003230,1/12/2019,北京市,3009,105,2
20003231,1/13/2019,呼和浩特市,3009,1225,2
20003232,1/13/2019,中山市,3009,1843,1
20003233,1/13/2019,中山市,3008,1898,4
20003234,1/13/2019,江门市,3008,1747,1
20003235,1/13/2019,马鞍山市,3009,2139,4
20003236,1/13/2019,常州市,3007,596,3
20003237,1/13/2019,嘉兴市,3003,207,3
20003238,1/13/2019,嘉兴市,3003,207,1
20003239,1/13/2019,呼和浩特市,3002,1252,1
20003240,1/13/2019,呼和浩特市,3001,1288,1
20003241,1/13/2019,桐乡市,3008,1929,2
20003242,1/13/2019,呼和浩特市,3003,1247,1
20003243,1/13/2019,呼和浩特市,3011,1252,1
20003244,1/13/2019,中山市,3008,1874,1
20003245,1/13/2019,北京市,3007,169,2
20003246,1/13/2019,江门市,3010,1766,1
20003247,1/13/2019,武汉市,3008,1408,1
20003248,1/13/2019,北京市,3002,166,2
20003249,1/13/2019,南通市,3011,645,1
20003250,1/13/2019,呼和浩特市,3012,1249,3
20003251,1/13/2019,呼和浩特市,3001,1264,3
20003252,1/13/2019,呼和浩特市,3003,1209,1
20003253,1/13/2019,杭州市,3009,347,1
20003254,1/13/2019,芜湖市,3007,1545,1
20003255,1/13/2019,北京市,3009,135,1
20003256,1/13/2019,北京市,3008,198,3
20003257,1/13/2019,北京市,3002,143,4
20003258,1/13/2019,呼和浩特市,3008,1273,1
20003259,1/13/2019,呼和浩特市,3012,1207,1
20003260,1/13/2019,南京市,3011,483,3
20003261,1/13/2019,泰兴市,3002,701,1
20003262,1/13/2019,苏州市,3012,1374,3
